HOSE
900
0.57	0.06
898.78	-0.07	39263617	368.10	
900.54	0.12	522900251	6734.82	
900	0.06	542865391	7135.64	
AAA	14.4	12.6	13.5	13.6	15179	13.65	9766	13.7	9405	0.25	1.85	13.75	3561	307107	13.75	3580	13.8	6072	13.85	8965	13.75	13.9	13.2	12527	444	6013968	
AAM	11.9	10.4	11.15	10.9	560	11	20	11.15	16	0	0	11.15	4	269	11.5	7	11.7	75	11.8	53	11.15	11.5	10.55	0	0	592344	
ABS	14.9	13	14.45	13.8	233	13.85	885	13.9	710	-0.5	-3.46	13.95	736	27593	13.95	1049	14	1533	14.1	855	13.95	14.1	13.5	10	0	1410803	
ABT	35.3	30.7	33	31.5	11	31.6	32	31.65	4	0	0	0	0	0	35	2	35.3	18	0	0	0	0	0	0	0	655031	
ACC	21.4	18.6	20	18.65	10	18.7	40	19	349	-1	-5	19	1	4	19.65	27	19.9	199	20	421	19	20	19	0	0	298800	
ACL	27.6	24	25.8	25	863	25.1	553	25.15	35	-0.4	-1.55	25.4	3	5773	25.4	191	25.5	12	25.6	10	0	25.6	25	0	0	845907	
ADS	10.55	9.21	9.9	9.4	11	9.42	96	9.44	50	0.01	0.1	9.91	4	224	9.91	14	9.93	50	9.95	15	0	9.91	9.3	0	0	1248247	
AGG	29.2	25.4	27.3	27	593	27.1	430	27.2	438	0	0	27.3	290	30263	27.3	386	27.4	548	27.5	1131	27.3	27.5	26.9	0	0	1622591	
AGM	16.55	14.45	15.5	16.45	1	16.5	6	16.55	1758	1.05	6.77	16.55	10	10689	0	0	0	0	0	0	16.55	16.55	14.8	0	2980	751970	
AGR	4.32	3.76	4.04	4.22	1101	4.23	1000	4.24	162	0.2	4.95	4.24	625	153487	4.25	425	4.27	2318	4.28	2299	4.24	4.3	3.99	0	107	9960594	
AMD	3.86	3.36	3.61	3.5	18297	3.51	290	3.52	31	-0.09	-2.49	3.52	14478	571459	3.53	7400	3.54	1533	3.55	4510	3.52	3.68	3.45	12449	1700	7711798	
ANV	21.65	18.85	20.25	19.5	1908	19.55	472	19.6	959	-0.65	-3.21	19.6	3678	41041	19.75	2152	19.8	445	19.85	200	19.6	20.1	19.3	1201	433	6088181	
APC	23.8	20.7	22.25	23.7	100	23.75	10	23.8	6904	1.55	6.97	23.8	8	8671	0	0	0	0	0	0	23.8	23.8	22.5	0	1095	655082	
APG	10.3	8.99	9.66	9.4	856	9.5	117	9.59	1103	-0.07	-0.72	9.59	500	58987	9.6	83	9.64	501	9.65	15	0	9.7	9.5	500	10640	3195789	
ASM	7.05	6.13	6.59	6.63	100	6.64	900	6.65	921	0.06	0.91	6.65	4565	475994	6.66	2545	6.67	1123	6.68	571	6.65	6.85	6.29	14398	64	12285638	
