UPCOM
54.31
0.3	0.55
GTGD:	(t?)	
A32	28.4	21	24.7	24.7	80	24.8	60	25	100	1.3	5.26	26	100	320	27.8	80	28.4	120	0	0	26	25.9	25.97	0	0	3332000	
ABC	11.9	8.9	10.4	10	20	10.1	60	10.2	30	-0.1	-0.96	10.3	50	80	10.4	20	10.5	270	10.6	30	10.3	10.3	10.3	0	0	90	
ABI	31.6	23.4	27.5	27	1000	27.1	320	27.2	30	-0.2	-0.73	27.3	20	2980	27.3	180	27.4	320	27.7	80	27.9	27	27.2	10	0	15497490	
ABR	32.7	24.3	28.5	27.2	50	27.9	10	28	70	4.2	14.74	32.7	10	20	32.7	90	0	0	0	0	32.7	32.7	32.7	0	0	7870400	
AC4	6.3	2.7	4.5	0	0	0	0	6.3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	1441022	
ACE	37.2	27.6	32.4	0	0	0	0	0	0	0	0	0	0	0	37	1000	37.2	30	0	0	0	0	32.4	0	0	1349461	
ACS	8.8	6.6	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7	0	0	1954000	
ACV	71.3	52.7	62	60.6	810	60.7	200	60.9	430	-1.1	-1.77	60.9	20	35750	61	920	61.1	470	61.2	240	62.2	60.6	61.17	150	13350	992558296	
ADG	125	92.4	108.7	106.1	30	106.3	10	107	10	0	0	108.7	30	1150	122.5	10	122.8	30	123.5	20	108.7	106.9	107.92	0	0	1870098	
ADP	20.7	15.3	18	0	0	0	0	15.4	150	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	7424997	
AFC	14	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	5237297	
AFX	5	3.8	4.4	4.1	810	4.2	1070	4.3	7020	0.1	2.27	4.5	10	1750	4.5	670	4.6	1620	4.7	1120	4.5	4.3	4.43	0	0	17150000	
AG1	8.3	6.3	7.3	7.8	20	8.1	150	8.3	690	1	13.7	8.3	10	10	0	0	0	0	0	0	8.3	8.3	8.3	0	0	2383059	
AGF	2.9	2.3	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	13569853	
AGP	20.5	15.3	17.9	0	0	0	0	17	10	0	0	17.9	20	20	17.9	20	18	200	18.9	70	17.9	17.9	17.9	0	0	0	
AGX	31.8	23.6	27.7	0	0	23.7	30	24	1050	0	0	0	0	0	27.6	100	27.7	10	29.5	10	0	0	27.7	0	0	3360800	
ALV	1.9	1.5	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	2754415	
AMP	11.7	8.7	10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2	0	0	6370000	
AMS	7.2	5.4	6.3	0	0	5.5	50	5.7	50	-0.4	-6.35	5.9	10	10	6.3	20	6.4	160	6.5	370	5.9	5.9	5.9	0	0	5528286	
ANT	11.5	8.5	10	0	0	0	0	10	100	0	0	10	20	20	10.7	400	10.8	1000	11.2	10	10	10	10	0	0	2918600	
APF	31.7	23.5	27.6	27.6	230	28	290	28.2	200	0.9	3.26	28.5	90	4170	28.5	210	31.7	490	0	0	28.5	27.8	28.02	0	0	0	
APL	17.9	7.7	12.8	0	0	0	0	7.7	20	0	0	0	0	0	12	50	0	0	0	0	0	0	12.8	0	0	588000	
APT	5.2	4	4.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	0	0	4312000	
AQN	12.1	5.3	8.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7	0	0	740437	
ASA	1.1	0.9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4858400	
ASD	3.5	2.7	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	0	1960000	
ATA	0.3	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	5879519	
ATB	0.6	0.4	0.5	0	0	0.4	21200	0.5	510	0.1	20	0.6	10	10	0.6	14870	0	0	0	0	0.6	0.6	0.6	0	0	6706060	
ATD	13.4	5.8	9.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6	0	0	756707	
AUM	14.7	6.3	10.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5	0	0	490000	
AVC	28.7	21.3	25	0	0	0	0	0	0	0	0	0	0	0	28.7	100	0	0	0	0	0	0	25	0	0	0	
AVF	0.5	0.3	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	21136609	
B82	0.5	0.3	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	2442265	
BAB	21	15.6	18.3	18.2	510	18.3	390	18.4	590	0.1	0.55	18.4	270	270	0	0	0	0	0	0	18.4	18.4	18.4	0	0	195000000	
BAL	12.5	9.3	10.9	0	0	0	0	9.3	10	1.4	12.84	12.3	10	10	12.2	50	12.3	370	12.4	50	12.3	12.3	12.3	0	0	980000	
BBH	37.5	16.1	26.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.8	0	0	1003486	
BBM	16.6	12.4	14.5	0	0	0	0	0	0	0	0	0	0	0	14.5	200	16.6	50	0	0	0	0	14.5	0	0	980000	
BBT	21.1	15.7	18.4	18.3	470	18.4	310	18.5	10	0	0	0	0	0	18.9	20	19	190	20.2	60	0	0	18.4	0	0	3266550	
BCB	11.4	5	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2	0	0	2450000	
BCM	26.7	19.9	23.3	23	710	23.3	230	23.5	1010	0.3	1.29	23.6	50	4300	23.6	10	23.7	510	23.8	300	23.7	23.5	23.54	0	390	486248300	
BCP	14.9	11.1	13	0	0	0	0	12	10	0	0	0	0	0	13	10	13.2	210	13.5	30	0	0	13	0	0	2914700	
BDC	8.9	6.7	7.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8	0	0	10650591	
BDF	17.7	13.1	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.4	0	0	759500	
BDG	35.9	26.7	31.3	29.2	10	29.4	10	29.5	70	-0.3	-0.96	31	20	150	31.4	10	31.5	200	31.9	90	32.7	31	31.39	0	0	5764400	
BDP	11.5	8.5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	12250000	
BDT	20.8	15.4	18.1	16	200	17	210	17.2	50	0	0	0	0	0	18.1	60	20	50	20.1	200	0	0	18.1	0	0	18912000	
BDW	16.1	11.9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	6075475	
BEL	12.7	9.5	11.1	0	0	10	40	11.1	500	0	0	0	0	0	12.7	40	0	0	0	0	0	0	11.1	0	0	2940000	
BGW	26.7	11.5	19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1	0	0	8893228	
BHA	11.7	8.7	10.2	0	0	0	0	0	0	0	0	0	0	0	11.7	50	0	0	0	0	0	0	10.2	0	0	32340000	
BHC	3.1	2.3	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	2193600	
BHG	16.9	7.3	12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1	0	0	4378465	
