VNSML
721.07
-0.15	-0.02
721.29	0.01	6410	0.24	
720.22	-0.14	51802900	356.51	
720.24	-0.14	53819260	369.44	
RAL	90.4	78.6	84.5	82.5	21	82.8	21	83	182	-0.4	-0.47	84.1	11	564	84.1	9	84.2	50	84.3	95	84.1	84.5	83	200	0	547134	
BSI	8.35	7.27	7.81	7.62	99	7.63	300	7.7	199	-0.11	-1.41	7.7	1	461	7.82	261	7.9	261	7.93	5	7.7	7.82	7.6	0	0	4950453	
DHM	9.3	8.1	8.7	8.6	1500	8.65	1583	8.7	559	0	0	8.7	2100	11651	8.89	100	8.9	159	9	1551	8.7	8.9	8.45	0	0	1531338	
BFC	13.3	11.6	12.45	12.55	15	12.6	1450	12.65	10135	0.25	2.01	12.7	1279	121972	12.7	1980	12.75	1188	12.8	2865	12.7	13	12.4	2028	0	2429383	
HVH	8.42	7.32	7.87	7.9	100	7.91	102	7.93	80	0.09	1.14	7.96	205	25035	7.95	472	7.96	322	7.97	149	7.96	7.99	7.84	1259	0	962600	
D2D	60.9	53.1	57	57.8	735	57.9	307	58	542	1	1.75	58	1308	24257	58.2	449	58.3	275	58.4	150	58	58.9	57.1	1498	4	902055	
TLH	3.44	3	3.22	3.19	1000	3.21	1463	3.22	1099	0.05	1.55	3.27	1	28053	3.27	599	3.28	358	3.29	100	3.27	3.3	3.16	0	0	4905566	
TDH	9.3	8.1	8.7	8.62	1200	8.63	1500	8.66	23	-0.01	-0.11	8.69	5015	55892	8.69	1900	8.7	3881	8.75	1820	8.69	8.74	8.6	4615	1523	1733061	
VPG	20.85	18.15	19.5	19.15	10	19.2	13	19.25	11	-0.25	-1.28	19.25	478	2152	19.3	1313	19.5	10	20	150	19.25	19.5	19.2	0	60	1294179	
ITC	13.35	11.65	12.5	11.8	30	12.5	118	12.55	30	0.05	0.4	12.55	20	23	12.95	15	13	478	13.1	20	0	12.55	12.5	0	0	3518729	
UIC	43.65	37.95	40.8	40.6	90	40.65	90	40.8	5	0.05	0.12	40.85	21	4602	40.85	49	40.9	101	40.95	100	40.85	40.85	40.45	216	0	230186	
CNG	22.1	19.3	20.7	20.65	131	20.7	285	20.75	103	0.05	0.24	20.75	600	2749	21	97	21.5	20	22	253	0	21	20.75	0	1060	755258	
HHS	4.41	3.85	4.13	4.15	2500	4.16	542	4.17	301	0.07	1.69	4.2	701	146544	4.2	737	4.21	80	4.22	1650	4.2	4.28	4.13	2503	1150	12586792	
CCL	7.69	6.69	7.19	7.08	20	7.09	480	7.1	121	0.05	0.7	7.24	409	11510	7.24	770	7.25	580	7.3	781	7.24	7.35	7.01	0	0	2106417	
HAP	3.37	2.93	3.15	3.12	700	3.13	500	3.14	1000	0	0	3.15	6	6552	3.15	553	3.16	189	3.17	200	3.15	3.18	3.13	0	0	2326943	
HAX	12.7	11.1	11.9	11.75	70	11.8	1185	11.85	531	0	0	11.9	5	10955	11.9	249	12	1304	12.05	3610	11.9	12.15	11.8	2052	0	1539615	
TVT	21.9	19.1	20.5	19.7	5	19.9	11	20	57	-0.5	-2.44	20	36	39	20.5	10	20.6	10	20.7	102	0	20.3	20	0	0	1026451	
KMR	2.4	2.1	2.25	2.17	51	2.18	1	2.19	21	-0.05	-2.22	2.2	301	17234	2.2	1257	2.21	350	2.22	506	2.2	2.25	2.15	551	0	2120047	
TRC	30.9	26.9	28.9	27.4	45	27.5	55	28	199	-0.9	-3.11	28	46	298	29	50	29.45	36	29.5	464	28	28.85	28	0	16	1220688	
SCD	22.85	19.95	21.4	21.35	10	21.4	21	21.5	3	0.4	1.87	21.8	71	255	21.8	60	21.85	70	22.8	110	0	21.95	21.5	0	0	343165	
LSS	4.9	4.26	4.58	4.71	299	4.73	134	4.78	500	0.22	4.8	4.8	100	7061	4.8	463	4.83	810	4.84	581	4.8	4.87	4.6	0	0	3317592	
C32	26.75	23.25	25	24.6	152	24.8	400	24.85	66	-0.15	-0.6	24.85	84	5288	25	426	25.1	434	25.2	500	24.85	25.35	24.65	1011	0	340147	
DAG	5.77	5.03	5.4	5.3	558	5.31	705	5.32	90	-0.08	-1.48	5.32	300	17641	5.33	236	5.34	308	5.36	33	5.32	5.39	5.32	0	0	2102390	
IJC	12.8	11.2	12	11.9	844	11.95	70	12	515	0	0	12	772	34544	12.05	165	12.1	500	12.15	50	12	12.25	11.9	4	12	6514703	
DVP	36.45	31.75	34.1	33.9	196	33.95	60	34	12	-0.1	-0.29	34	110	623	34.1	35	34.15	74	34.2	72	34	34	33.55	10	10	1407379	
KSB	21.8	19	20.4	20.3	4485	20.35	1971	20.4	747	0	0	20.4	3114	126673	20.45	2398	20.5	3018	20.55	2	20.4	20.9	20.3	5010	9962	2052005	
NAF	27.8	24.2	26	25.1	70	25.2	73	25.5	10	0	0	26	30	5365	26	127	26.05	40	26.1	160	26	26	25.2	0	0	4117225	
TNT	1.62	1.42	1.52	1.48	1	1.49	255	1.5	748	-0.01	-0.66	1.51	13	3732	1.51	1499	1.52	1111	1.53	300	1.51	1.52	1.49	0	0	1237041	
FIT	6.48	5.64	6.06	6.01	1253	6.02	780	6.03	531	-0.03	-0.5	6.03	1100	24831	6.06	40	6.07	100	6.08	200	6.03	6.12	6.03	514	30	12139213	
AAM	12.5	10.9	11.7	11.05	111	11.2	349	11.3	33	0	0	11.7	1	51	11.7	295	11.9	100	11.95	100	0	11.7	11.05	0	0	592374	
