VNX50
1330.05
10.93	0.82
0	0	0	0	
1329.63	0.79	132751076	2978.14	
1329.17	0.76	138355026	3116.08	
ACB	24.6	20.2	22.4	22.4	51590	22.5	45250	22.6	4260	0.2	0.89	22.6	250	351780	22.7	28970	22.8	35070	22.9	14880	22.5	22.7	22.3	0	0	0	
BVH	52.5	45.75	49.15	49.35	352	49.4	2540	49.45	80	0.35	0.71	49.5	3864	61823	49.5	1792	49.55	310	49.6	2121	49.5	49.75	49	1757	9352	15268512	
CII	21.05	18.35	19.7	19.65	1310	19.7	9654	19.75	4766	0.1	0.51	19.8	2441	120564	19.8	819	19.9	1951	19.95	1740	19.8	20	19.7	5105	65000	7065500	
CTD	72.8	63.4	68.1	67.7	516	67.8	825	67.9	31	-0.1	-0.15	68	862	20771	68	194	68.1	391	68.2	200	68	68.4	67.5	178	1794	195694	
CTG	24.35	21.25	22.8	22.9	13454	22.95	10332	23	5829	0.25	1.1	23.05	16933	673127	23.05	4669	23.1	14443	23.15	11231	23.05	23.35	22.7	27700	22715	1367334	
DXG	11.85	10.35	11.1	11.15	4692	11.2	4781	11.25	4184	0.2	1.8	11.3	9017	292885	11.3	12491	11.35	6888	11.4	6075	11.3	11.35	10.95	18685	29776	4822047	
EIB	18.05	15.75	16.9	16.7	2284	16.8	617	16.9	490	0	0	16.9	16	38924	16.95	98	17	2676	17.05	1151	16.9	17.15	16.5	0	2018	12906	
FLC	3.09	2.69	2.89	2.86	44295	2.87	49549	2.88	5110	0	0	2.89	14309	421712	2.89	25351	2.9	38285	2.91	22181	2.89	2.92	2.87	931	28774	32875839	
FPT	51.8	45.1	48.45	48.3	70	48.35	20	48.4	55	0	0	48.45	10291	203300	48.45	180	48.5	5575	48.55	2296	48.45	48.6	47.8	8000	8152	0	
GAS	79	68.8	73.9	73.5	5059	73.6	7447	73.7	1032	-0.2	-0.27	73.7	2538	55499	73.8	1210	73.9	1286	74	3074	73.7	74.1	73.4	8013	22099	87481610	
GEX	18.25	15.95	17.1	17.7	15320	17.75	19890	17.8	15771	0.75	4.39	17.85	27989	427941	17.85	9487	17.9	13100	17.95	17034	17.85	17.95	17.25	13690	966	16538599	
GMD	20.65	17.95	19.3	19.2	2802	19.25	2448	19.3	1497	0.1	0.52	19.4	4075	24093	19.4	311	19.45	2421	19.5	4802	19.4	19.45	19.15	215	0	0	
HBC	9.43	8.21	8.82	8.86	1655	8.87	729	8.88	720	0.07	0.79	8.89	7757	227882	8.89	1702	8.9	4774	8.91	1010	8.89	8.97	8.82	2897	2799	6645486	
HCM	19.75	17.25	18.5	18.85	302	18.9	1417	18.95	16022	0.5	2.7	19	12786	227324	19	8319	19.05	897	19.1	11741	19	19	18.5	5880	51042	14119168	
HDB	25.55	22.25	23.9	24	2428	24.05	110	24.1	4229	0.2	0.84	24.1	11844	94260	24.3	1587	24.35	2196	24.4	1800	24.1	24.4	23.8	20005	24301	8684324	
HPG	29.15	25.35	27.25	27.2	32106	27.25	27463	27.3	1130	0.05	0.18	27.3	25511	1116888	27.35	2427	27.4	5629	27.45	300	27.3	27.8	27.15	23769	385230	33874676	
HSG	10.35	9.03	9.7	9.77	3350	9.78	6218	9.79	1822	0.09	0.93	9.79	41792	714613	9.8	720	9.82	100	9.83	130	9.79	9.88	9.6	41687	19672	14449185	
KBC	13.7	12	12.85	13.6	7120	13.65	1259	13.7	44452	0.85	6.61	13.7	2411	654585	0	0	0	0	0	0	13.7	13.7	12.85	25063	1701	12807798	
MBB	18.45	16.05	17.25	17.2	46870	17.25	25993	17.3	14051	0.05	0.29	17.3	10446	424460	17.35	2763	17.4	20830	17.45	34839	17.3	17.45	17.2	30000	30000	0	
MSN	66.3	57.7	62	61.6	4570	61.7	3989	61.8	4617	-0.2	-0.32	61.8	7347	135462	62	30	62.1	2268	62.2	305	61.8	62.7	61.5	2218	43974	11251992	
MWG	90.9	79.1	85	85.8	382	85.9	162	86	3805	1.1	1.29	86.1	4239	113552	86.1	162	86.2	400	86.3	373	86.1	87	84.2	20000	20000	0	
NLG	24.6	21.4	23	22.95	6069	23	5876	23.05	576	0.05	0.22	23.05	7039	41085	23.1	772	23.15	198	23.2	1519	23.05	23.4	23	842	64	414602	
NVL	57	49.6	53.3	52.8	2235	52.9	1864	53	3599	0	0	53.3	5275	103564	53.3	1584	53.4	1016	53.5	1780	53.3	53.9	52.2	1100	11837	31416768	
PDR	26.55	23.15	24.85	24.45	300	24.5	871	24.55	50	-0.3	-1.21	24.55	1041	67817	24.7	57	24.75	50	24.8	400	24.55	25	24.55	2339	9106	15037853	
PLX	49.6	43.2	46.4	46.25	1224	46.3	2471	46.35	1392	-0.05	-0.11	46.35	2708	62522	46.4	278	46.45	713	46.5	3119	46.35	46.8	45.5	917	2617	8641952	
PNJ	67.6	58.8	63.2	63.7	500	63.8	985	63.9	206	0.8	1.27	64	2440	70935	64	5997	64.1	1006	64.2	5469	64	64.3	63.5	20000	20000	0	
POW	10.8	9.4	10.1	10.1	36414	10.15	10270	10.2	24222	0.1	0.99	10.2	15267	612907	10.25	9804	10.3	54002	10.35	34485	10.2	10.4	10	25687	4502	88197830	
PPC	25.7	22.4	24.05	24.35	500	24.4	136	24.45	11	0.45	1.87	24.5	3233	15503	24.5	185	24.55	500	24.6	711	24.5	24.5	24	3163	3156	10604023	
PVD	11.5	10	10.75	10.8	22753	10.85	18642	10.9	5734	0.2	1.86	10.95	8347	385405	10.95	21095	11	87834	11.05	4924	10.95	11	10.65	2662	1800	15376591	
PVS	13.6	11.2	12.4	12.4	49150	12.5	18540	12.6	13930	0.2	1.61	12.6	10	478390	12.7	510	12.8	4140	12.9	22860	12.4	12.9	12.4	25800	0	17354931	
REE	33.35	29.05	31.2	31.1	2220	31.15	541	31.2	79	0	0	31.2	1241	41519	31.25	1277	31.3	1957	31.35	906	31.2	31.3	30.95	0	127	0	
