HNXLCAP
173.11
2.47	1.45
49435800	629.72	
CEO	8.3	6.9	7.6	7.4	12370	7.5	12390	7.6	11470	0.1	1.32	7.7	50	137640	7.7	22980	7.8	30970	7.9	46970	7.7	7.5	7.63	0	0	8577732	0	0	
BCC	8	6.6	7.3	7.7	930	7.8	760	7.9	2290	0.7	9.59	8	60	73690	8	5940	0	0	0	0	8	7	7.92	0	0	4905886	0	0	
AMV	18.8	15.4	17.1	17.1	6260	17.2	6300	17.3	3450	0.3	1.75	17.4	100	51490	17.4	2860	17.5	9440	17.6	1500	17.4	17.1	17.29	0	0	1769148	0	0	
VCG	27.6	22.6	25.1	24.8	20	24.9	20	25	430	0.1	0.4	25.2	50	6640	25.2	1010	25.3	400	25.5	100	25.2	24.8	25.04	0	0	21440429	0	0	
HHC	111.1	90.9	101	0	0	0	0	0	0	0	0	0	0	0	102	10	105	200	0	0	0	0	101	0	0	799044	0	0	
TNG	15.5	12.7	14.1	14.3	11200	14.4	16950	14.5	3800	0.4	2.84	14.5	10	307230	14.6	9050	14.7	16440	14.8	12770	14.8	14	14.35	100	2690	2767323	0	0	
OCH	8.4	7	7.7	0	0	0	0	7	70	0.1	1.3	7.8	10	200	7.8	120	8	270	0	0	7.8	7.8	7.8	0	0	9799570	0	0	
IVS	8.5	7.1	7.8	0	0	7.1	800	7.2	210	-0.2	-2.56	7.6	80	820	7.6	220	7.7	100	7.8	20	7.8	7.1	7.28	200	690	1641413	0	0	
NTP	37.6	30.8	34.2	34.4	410	34.5	960	34.6	100	0.6	1.75	34.8	20	2530	34.9	550	35	430	35.7	3490	34.8	34	34.4	10	0	2987379	0	0	
PVI	33.5	27.5	30.5	30.5	270	30.6	1100	30.7	100	0.2	0.66	30.7	10	3350	30.8	610	30.9	210	31	580	31	30.5	30.66	1380	0	10696297	0	0	
CTB	34.6	28.4	31.5	29	20	29.5	200	29.7	10	0	0	0	0	0	32	100	33.5	10	34.6	50	0	0	31.5	0	0	586225	0	0	
PLC	19.1	15.7	17.4	16.9	4920	17	17400	17.1	4990	-0.2	-1.15	17.2	150	33670	17.2	720	17.3	1190	17.4	5460	17.4	17	17.17	1000	400	3898017	0	0	
VIX	5.6	4.6	5.1	4.9	290	5	2160	5.1	1480	0	0	5.1	210	4940	5.2	1600	5.3	810	5.4	260	5.2	5.1	5.13	0	0	5565390	0	0	
VHL	26.1	21.5	23.8	22.5	10	22.8	20	22.9	10	0	0	0	0	0	24	20	25.8	80	26	140	0	0	23.8	0	0	1174192	0	0	
CAG	94.4	77.4	85.9	0	0	0	0	0	0	0	0	0	0	0	0	10	77.4	60	85.9	30	0	0	85.9	0	0	676200	0	0	
