VN100
783.4
7.6	0.97
775.8	0	2030	0.01	
783.22	0.95	215640840	3967.77	
783.23	0.95	223835920	4154.85	
VND	13.5	11.8	12.65	13	5917	13.05	2590	13.1	727	0.5	3.95	13.15	3667	91843	13.15	725	13.2	3780	13.25	11657	13.15	13.2	12.7	3999	14000	2874480	
CTG	24.65	21.45	23.05	23.05	15525	23.1	18725	23.15	7820	0.1	0.43	23.15	40279	628298	23.2	18926	23.25	10779	23.3	29746	23.15	23.3	22.85	11266	2161	1370185	
DCM	9.51	8.27	8.89	8.78	164	8.8	2120	8.81	2545	-0.08	-0.9	8.81	4141	136953	8.82	3938	8.83	107	8.84	500	8.81	8.89	8.72	1	2278	24932531	
HCM	20.3	17.7	19	19.7	15346	19.75	5592	19.8	1350	0.85	4.47	19.85	9910	406593	19.85	2594	19.9	9335	19.95	43113	19.85	19.95	19.05	55316	45836	14114052	
TCH	24.9	21.7	23.3	23.4	8127	23.45	6342	23.5	12801	0.2	0.86	23.5	13732	353223	23.55	63	23.6	6379	23.65	954	23.5	23.65	22.65	1629	6292	16192237	
BMI	22.85	19.95	21.4	21.45	349	21.5	773	21.6	100	0.25	1.17	21.65	2000	37824	21.65	352	21.7	785	21.75	100	21.65	21.65	21.1	7738	3350	1210550	
VNG	14.75	12.85	13.8	13.65	398	13.7	178	13.75	230	0	0	13.8	300	16180	13.8	940	13.85	1251	13.9	1216	13.8	13.85	13.7	0	310	4753666	
CMG	30.15	26.25	28.2	28	275	28.05	104	28.1	40	-0.1	-0.35	28.1	1	3228	28.15	100	28.2	519	28.25	360	28.1	28.3	28	300	29	1168071	
DPM	16.35	14.25	15.3	14.95	11378	15	19789	15.05	5576	-0.25	-1.63	15.05	11107	308123	15.1	9750	15.15	3336	15.2	4548	15.05	15.4	14.95	340	6889	14374152	
FLC	3.09	2.69	2.89	2.86	52415	2.87	47928	2.88	22259	0	0	2.89	62445	514888	2.89	22256	2.9	49519	2.91	26698	2.89	2.89	2.87	7481	887	32868358	
VCI	25	21.8	23.4	23.85	791	23.9	1071	23.95	200	0.6	2.56	24	2624	92004	24	3564	24.05	26	24.1	1179	24	24.5	23.4	152	33831	11521261	
MSN	66.1	57.5	61.8	62.3	914	62.4	291	62.5	73	0.7	1.13	62.5	5314	105324	62.6	3705	62.7	1645	62.8	1612	62.5	62.8	61.9	23320	15939	11277563	
SJS	20.55	17.95	19.25	20.45	1000	20.5	1	20.55	14454	1.3	6.75	20.55	413	37644	0	0	0	0	0	0	20.55	20.55	19.05	2	535	5375852	
HT1	14.7	12.8	13.75	14.6	1254	14.65	766	14.7	20204	0.95	6.91	14.7	330	84400	0	0	0	0	0	0	14.7	14.7	13.9	0	2611	16247244	
CSM	17	14.8	15.9	16.45	2164	16.55	300	16.6	1801	0.7	4.4	16.6	4506	29765	16.65	2150	16.7	335	16.75	3	16.6	16.6	15.95	0	700	4861346	
DIG	12.9	11.3	12.1	12.1	4533	12.15	3627	12.2	1300	0.15	1.24	12.25	5106	100611	12.25	1944	12.3	11782	12.35	6250	12.25	12.35	12.1	0	1261	4596529	
SAM	9.73	8.47	9.1	9.04	1500	9.05	3445	9.09	560	0	0	9.1	2003	31633	9.1	2131	9.19	1416	9.2	2155	9.1	9.1	9	0	2841	12168998	
FCN	9.84	8.56	9.2	9.22	6387	9.23	5856	9.24	2810	0.05	0.54	9.25	4532	93005	9.25	5199	9.26	5277	9.27	1156	9.25	9.26	9.2	2917	0	2930814	
PVT	11.3	9.86	10.6	11	11535	11.05	5533	11.1	391	0.55	5.19	11.15	6762	262441	11.15	15303	11.2	12200	11.25	3807	11.15	11.15	10.65	18	3189	6755934	
HDB	25.75	22.45	24.1	24.1	6107	24.15	947	24.2	400	0.25	1.04	24.35	4909	75508	24.35	491	24.4	1293	24.45	10	24.35	24.35	23.7	2785	6531	8689156	
VNM	125.8	109.4	117.6	117.3	2971	117.4	202	117.5	133	0	0	117.6	10690	98317	117.6	10954	117.7	1165	117.8	169	117.6	118	115.2	62271	25849	71825876	
CTD	72.7	63.3	68	69	192	69.1	310	69.2	530	1.3	1.91	69.3	1605	37722	69.3	159	69.4	468	69.5	492	69.3	69.9	67.8	454	359	195678	
CII	21.15	18.45	19.8	19.75	2780	19.8	9615	19.85	2459	0.1	0.51	19.9	4388	108046	19.9	21994	19.95	424	20	3583	19.9	20.1	19.85	1702	74439	7116388	
STB	10.95	9.54	10.25	10.3	52487	10.35	31248	10.4	9865	0.15	1.46	10.4	46677	939673	10.45	69322	10.5	163319	10.55	47943	10.4	10.45	10.3	11711	11326	27469700	
HAG	4.45	3.87	4.16	4.2	881	4.21	115	4.22	300	0.07	1.68	4.23	7302	351804	4.23	4711	4.24	6739	4.25	16193	4.23	4.31	4.16	839	5769	38055270	
TCB	22.5	19.6	21.05	21	25419	21.05	5633	21.1	2032	0.1	0.48	21.15	4015	222045	21.15	11333	21.2	11386	21.25	3019	21.15	21.3	21	40000	40000	0	
