HNXCON
112.26
-0.61	-0.54
5843600	18.94	
CMS	2.9	2.5	2.7	0	0	0	0	2.5	210	-0.1	-3.7	2.6	200	440	2.6	80	2.7	2100	2.8	250	2.6	2.6	2.6	0	0	816716	0	0	
UNI	4	3.4	3.7	3.8	100	3.9	30	4	870	0.3	8.11	4	170	1240	0	0	0	0	0	0	4	3.9	3.99	0	0	739633	0	0	
TKC	3.3	2.7	3	2.7	900	2.8	100	2.9	230	0	0	3	20	3380	3	100	3.1	1520	3.2	1020	3.1	2.9	3	0	0	556469	0	0	
VMC	10.7	8.9	9.8	9.4	210	9.5	50	9.6	440	0	0	9.8	10	320	9.8	150	9.9	510	10	360	9.8	9.6	9.7	0	0	921000	0	0	
VMI	0.7	0.5	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	449469	0	0	
C69	6.2	5.2	5.7	5.4	300	5.5	1260	5.6	40	-0.1	-1.75	5.6	70	14390	5.7	2660	5.8	1740	5.9	1360	5.7	5.6	5.63	0	0	734960	0	0	
LHC	76.4	62.6	69.5	66.5	50	67	20	67.3	10	-0.5	-0.72	69	200	720	69	100	69.5	200	69.9	100	69	67	68.27	0	0	94506	0	0	
CTX	10.1	8.3	9.2	8.8	100	8.9	150	9	150	0.1	1.09	9.3	10	90	9.3	210	9.6	120	9.7	50	9.3	9	9.24	0	0	3865356	0	0	
AME	7.4	6.2	6.8	6.5	10	6.8	200	6.9	70	0.1	1.47	6.9	10	30	7.1	10	7.4	10	0	0	6.9	6.9	6.9	0	10	1092620	0	0	
VXB	6.9	5.7	6.3	0	0	5.7	10	5.8	20	0.6	9.52	6.9	40	50	6.8	90	6.9	1080	0	0	6.9	6.9	6.9	0	0	198381	0	0	
DTD	14.1	11.7	12.9	12.1	300	12.2	890	12.3	140	-0.6	-4.65	12.3	50	4190	12.5	1660	12.6	1190	12.8	210	13	12.3	12.5	0	0	1202579	0	0	
PIC	9.9	8.1	9	8.1	30	8.2	50	8.5	20	0	0	9	50	100	0	0	0	0	0	0	9	9	9	0	0	1633642	0	0	
VC2	14	11.6	12.8	0	0	11.7	20	12.8	20	0	0	12.8	10	40	13.8	20	13.9	100	0	0	12.8	12.8	12.8	0	0	730378	0	0	
VCC	10.4	8.6	9.5	0	0	9.4	10	9.5	30	0	0	9.5	270	1070	9.7	150	10	250	10.3	10	9.5	9.5	9.5	0	0	587210	0	0	
VCG	27.7	22.7	25.2	24.8	590	24.9	500	25	370	-0.1	-0.4	25.1	40	3080	25.1	560	25.2	2780	25.3	310	25.2	25	25.04	0	0	21442549	0	0	
QTC	19.5	16.1	17.8	16.3	80	16.4	10	16.5	10	0	0	0	0	0	18	210	18.5	70	18.9	20	0	0	17.8	0	0	48926	0	0	
SDT	3.1	2.7	2.9	0	0	0	0	2.7	1150	0	0	2.9	20	740	2.9	1090	3	570	3.1	400	2.9	2.7	2.8	0	0	1717326	0	0	
LUT	2.2	1.8	2	0	0	0	0	1.8	10	-0.1	-5	1.9	20	60	2	10	2.1	1690	2.2	190	2.1	1.9	1.93	0	0	732722	0	0	
