VNMID
855.96
-14.68	-1.72
870.67	0	150250	2.47	
857.81	-1.5	127824810	1506.21	
857.74	-1.5	134077950	1591.91	
DPG	26.75	23.25	25	24	3605	24.05	273	24.1	58	-0.9	-3.6	24.1	1915	36187	24.15	219	24.2	202	24.3	920	24.1	25.4	24.1	808	1672	2187842	
TDM	23.8	20.7	22.25	21.8	5	21.85	500	21.9	173	-0.35	-1.57	21.9	31	19322	21.95	1858	22	706	22.05	25	21.9	22.3	21.6	0	884	3695492	
DPR	40.65	35.35	38	37.55	50	38	419	38.1	381	0.1	0.26	38.1	19	2130	38.6	123	38.7	108	38.75	1	38.1	38.7	38	0	19	1498678	
NLG	25.25	21.95	23.6	23	19371	23.05	1369	23.1	1850	-0.45	-1.91	23.15	10831	99053	23.15	2386	23.2	1834	23.3	403	23.15	24	23.15	10	1609	410435	
PTB	51.8	45.1	48.45	47.7	50	47.75	49	47.8	192	-0.45	-0.93	48	690	20010	48	169	48.1	70	48.2	70	48	49.3	47.8	105	344	1472430	
CRE	17.65	15.35	16.5	16.65	2000	16.7	3030	16.75	2748	0.25	1.52	16.75	5540	155415	16.8	400	16.85	1200	16.9	847	16.75	17.2	16.75	14	80858	1950553	
SCS	128.1	111.5	119.8	118	41	118.1	50	118.4	18	-1.4	-1.17	118.4	44	2889	118.8	37	118.9	70	119	150	118.4	120.2	118.4	1290	13	1395815	
LDG	6.12	5.32	5.72	5.75	5493	5.76	3010	5.77	243	0.05	0.87	5.77	11922	587733	5.78	3546	5.79	2906	5.8	11121	5.77	6	5.75	1823	7767	11469379	
AST	57.5	50.1	53.8	54.3	17	54.5	23	54.6	3	0.8	1.49	54.6	156	16679	54.7	17	54.8	175	54.9	13	54.6	55.8	54.3	157	16	256857	
HPX	28.7	25	26.85	26.7	63	26.75	7	26.8	5	0.15	0.56	27	200	17367	26.85	956	26.9	250	26.95	835	0	27	26.8	0	0	8086708	
ITA	3.19	2.79	2.99	3.17	30719	3.18	17258	3.19	160008	0.2	6.69	3.19	49975	2663322	0	0	0	0	0	0	3.19	3.19	3.05	15201	42310	39421472	
VPI	44.9	39.1	42	41.6	282	41.65	248	41.7	36	-0.3	-0.71	41.7	1541	27787	41.75	314	41.8	456	41.85	386	41.7	41.9	41.6	0	10000	7164723	
YEG	63.6	55.4	59.5	58.1	66	58.2	237	58.3	10	-1.1	-1.85	58.4	21	1784	58.4	111	58.5	48	58.6	3	58.4	59.5	58.2	20	164	2167505	
NCT	65.9	57.3	61.6	60.8	1	61	19	61.1	172	-0.5	-0.81	61.1	500	1292	61.4	11	61.6	53	61.7	306	61.1	61.7	61.1	0	0	1001485	
FRT	29.2	25.4	27.3	0	0	0	0	0	0	-1.9	-6.96	25.4	29539	226961	25.4	107	25.45	2	25.5	1580	25.4	27.5	25.4	1778	14447	1030376	
GEX	19.2	16.7	17.95	17.15	5000	17.2	11196	17.25	19230	-0.7	-3.9	17.25	12592	414707	17.3	3012	17.35	1150	17.4	6516	17.25	18	17.25	540	8091	16544667	
