VNSI
1105.02
3.56	0.32
1101.68	0.02	97970	3.24	
1106.62	0.47	49871330	1023.73	
1106.54	0.46	51690140	1080.28	
BMP	51.7	45	48.35	47.6	844	47.65	1176	47.7	10	-0.55	-1.14	47.8	928	8152	47.8	977	47.9	10	48.2	418	47.8	48.5	47.5	848	1927	1630337	
CTD	79.2	69	74.1	76.5	71	76.6	1	76.8	210	2.7	3.64	76.8	1949	47993	76.9	216	77	2095	77.2	112	76.8	78.5	74.5	7453	500	189394	
DCM	9	7.84	8.42	8.49	900	8.5	2665	8.51	2012	0.09	1.07	8.51	4364	148658	8.52	84	8.53	230	8.56	3	8.51	8.62	8.42	9870	0	24925501	
DPM	15.9	13.9	14.9	14.75	10673	14.8	16571	14.85	866	0	0	14.9	5829	347209	14.9	5930	14.95	5300	15	6036	14.9	15.2	14.7	27180	3199	14342873	
FPT	51.3	44.65	48	47.9	3107	47.95	363	48	28729	0	0	48	7968	119438	48.05	41	48.1	1866	48.15	123	48	48.6	48	2189	2189	0	
HCM	20.1	17.5	18.8	18.75	3116	18.8	1799	18.85	50	0.1	0.53	18.9	4350	221991	18.9	794	18.95	836	19	4277	18.9	19.15	18.7	10199	40000	14178190	
MBB	18.5	16.1	17.3	17.15	20912	17.2	21450	17.25	40829	0	0	17.3	18841	343956	17.3	2457	17.35	12893	17.4	22337	17.3	17.5	17.25	0	0	0	
NT2	22.95	19.95	21.45	21.05	302	21.1	1787	21.15	178	-0.3	-1.4	21.15	813	21817	21.2	710	21.3	640	21.35	293	21.15	21.4	21	4826	0	8964229	
NVL	57.5	50.1	53.8	54	1058	54.1	2000	54.2	1671	0.5	0.93	54.3	10498	136144	54.3	1411	54.4	1970	54.5	2601	54.3	54.9	52.7	4413	2082	31420167	
PAN	23.4	20.4	21.9	22	170	22.05	15	22.25	70	0.45	2.05	22.35	1	2049	22.3	848	22.35	31	22.5	79	0	22.35	20.5	5	0	1035287	
PNJ	67.4	58.6	63	62.5	6554	62.6	3351	62.7	3939	-0.3	-0.48	62.7	2943	79635	62.8	570	62.9	4607	63	3799	62.7	63.1	62.2	40000	40000	0	
PVD	11.55	10.05	10.8	10.6	30041	10.65	9711	10.7	37164	-0.1	-0.93	10.7	15018	430314	10.8	26964	10.85	25612	10.9	8680	10.7	10.95	10.7	769	832	15376928	
REE	33.75	29.35	31.55	31.35	409	31.4	1027	31.45	561	-0.1	-0.32	31.45	3874	48644	31.5	25	31.55	2490	31.6	1223	31.45	31.85	31.4	0	0	0	
SBT	15.95	13.95	14.95	14.75	2398	14.8	7240	14.85	2475	-0.05	-0.33	14.9	9434	227409	14.9	31	14.95	377	15	12902	14.9	15	14.8	4955	1212	55224625	
SSI	15.9	13.9	14.9	14.75	5768	14.8	32047	14.85	5766	-0.05	-0.34	14.85	11545	487649	14.9	7203	14.95	3632	15	5279	14.85	15.1	14.8	10159	20334	29827414	
STB	10.8	9.4	10.1	10.2	43285	10.25	23467	10.3	55829	0.2	1.98	10.3	37852	1676921	10.35	3313	10.4	17588	10.45	61133	10.3	10.6	10.05	84062	30040	27435513	
VIC	103.6	90.2	96.9	96.5	803	96.8	1	96.9	563	0.1	0.1	97	7685	31479	97	6230	97.1	90	97.2	238	97	97.5	96.3	14294	12281	76749284	
VJC	120.9	105.1	113	113	7703	113.1	405	113.2	10	0.3	0.27	113.3	2551	43606	113.3	7679	113.4	427	113.5	370	113.3	114.2	113	2800	10921	6215929	
VNM	123	107	115	114.6	1348	114.7	2963	114.8	1742	-0.2	-0.17	114.8	10219	100450	114.9	140	115	9921	115.1	173	114.8	116	114.8	54736	52030	71778777	
VPB	24.6	21.4	23	23	36434	23.05	16149	23.1	3025	0.1	0.43	23.1	25220	645500	23.2	1485	23.25	1200	23.3	2693	23.1	23.5	22.75	1285	0	0	
