HNX30
216.59
0.72	0.33
33282300	322.48	
DDG	30.3	24.9	27.6	27.3	680	27.4	120	27.5	90	0	0	27.6	10	3370	27.6	150	27.7	90	27.8	130	27.8	27.5	27.57	0	0	1199990	0	0	
CAP	31.1	25.5	28.3	28.4	370	28.5	410	28.6	10	0.7	2.47	29	10	980	29	340	29.2	100	29.5	120	29	28.3	28.4	0	0	247998	0	0	
L14	71.9	58.9	65.4	64.2	100	64.3	270	64.5	200	-0.8	-1.22	64.6	10	5490	65	180	65.6	200	65.7	100	66	64	64.53	0	0	904963	0	0	
CEO	8.1	6.7	7.4	7.3	29700	7.4	14580	7.5	12820	0.2	2.7	7.6	450	213130	7.6	14680	7.7	36290	7.8	28430	7.6	7.4	7.51	0	0	8578232	0	0	
PVI	33.8	27.8	30.8	30.3	390	30.4	200	30.5	50	0	0	30.8	10	330	30.8	1060	30.9	400	31	1020	30.8	30.3	30.38	0	210	10693297	0	0	
PVC	5.8	4.8	5.3	5	1820	5.1	15150	5.2	6690	0	0	5.3	10	1310	5.3	300	5.4	75620	5.5	3010	5.3	5.2	5.26	0	0	1887202	0	0	
VGS	8.8	7.2	8	7.9	780	8	470	8.1	480	0.2	2.5	8.2	200	2470	8.2	2330	8.3	320	8.4	100	8.2	8	8.07	0	0	1997545	0	0	
VCS	74	60.6	67.3	66.8	110	66.9	150	67	6030	-0.3	-0.45	67	30	42440	67.2	10	67.3	310	67.4	120	69.8	66	66.88	970	50	7416890	0	0	
VCG	27.6	22.6	25.1	24.8	1510	24.9	440	25	500	0	0	25.1	30	3590	25.1	2310	25.2	280	25.3	340	25.1	24.9	25.01	0	0	21442549	0	0	
MBS	11.4	9.4	10.4	10	3220	10.1	1820	10.2	400	-0.2	-1.92	10.2	90	12400	10.3	1780	10.4	2210	10.5	690	10.4	10.2	10.23	0	0	8045509	0	0	
TVC	33.8	27.8	30.8	33.7	2850	33.8	5230	0	2410	3	9.74	33.8	70	31280	0	0	0	0	0	0	33.8	30.5	32.36	0	0	1960658	0	0	
SHS	9.7	8.1	8.9	8.5	34770	8.6	36280	8.7	47690	-0.1	-1.12	8.8	20	201720	8.8	15040	8.9	300	9	3370	9	8.6	8.79	0	37810	8447508	0	0	
ACB	25.1	20.7	22.9	22.7	39640	22.8	68550	22.9	3930	0	0	22.9	400	239260	23	16100	23.1	18890	23.2	21280	23	22.7	22.9	0	0	0	0	0	
SLS	59.4	48.6	54	52.5	20	53	30	53.2	10	-0.8	-1.48	53.2	10	40	54	50	54.4	50	54.5	30	54	53.2	53.8	0	0	443620	0	0	
DGC	40.4	33.2	36.8	36.6	1200	36.7	1120	36.8	360	0	0	36.8	160	14170	36.9	2010	37	10990	37.1	1870	37.1	36.5	36.76	0	60	6228460	0	0	
BVS	10.3	8.5	9.4	9.1	430	9.2	110	9.3	330	0	0	9.4	30	8190	9.4	1020	9.5	1990	9.6	1830	9.4	9.1	9.24	1400	1500	1676427	0	0	
VC3	17.9	14.7	16.3	16	670	16.1	870	16.2	470	0	0	16.3	100	17270	16.3	680	16.4	1510	16.5	1800	16.4	16.1	16.24	0	0	2988123	0	0	
NRC	9.1	7.5	8.3	8.1	1300	8.2	2810	8.3	1070	0	0	8.3	10	960	8.5	20	8.6	130	8.7	190	8.5	8.2	8.36	0	0	671185	0	0	
KLF	2	1.8	1.9	0	0	0	0	1.8	292680	0	0	1.9	10	292360	1.9	3580	2	424240	0	0	2	1.8	1.89	0	0	7978955	0	0	
DP3	89.1	72.9	81	81.1	20	81.2	180	83	150	2.5	3.09	83.5	50	490	83.5	50	84.9	100	85	830	85	81	84.32	0	0	417334	0	0	
PVS	13.8	11.4	12.6	12.3	47900	12.4	46190	12.5	44970	0	0	12.6	30	278350	12.6	630	12.7	18330	12.8	23330	12.7	12.5	12.56	500	25140	17357031	0	0	
DTD	13.6	11.2	12.4	12	1130	12.1	500	12.2	1760	0	0	12.4	230	3780	12.4	290	12.5	1400	12.6	1720	12.4	12.2	12.33	0	200	1202579	0	0	
NDN	19.5	16.1	17.8	17.5	970	17.6	1250	17.7	740	-0.1	-0.56	17.7	250	7840	17.8	2050	17.9	2860	18	4200	17.9	17.6	17.71	0	0	2318237	0	0	
LHC	75.9	62.1	69	65.5	50	66	50	68	10	0	0	69	150	160	69	330	70	100	70.5	50	69	69	69	0	0	94506	0	0	
VMC	10.7	8.9	9.8	9.4	300	9.5	660	9.6	100	-0.2	-2.04	9.6	100	650	9.8	1540	9.9	390	10	200	9.6	9.6	9.6	0	0	921000	0	0	
SHB	15.5	12.7	14.1	13.7	44200	13.8	68110	13.9	170	-0.1	-0.71	14	1000	676820	14	5550	14.1	61940	14.2	84050	14.1	13.7	13.92	68260	209353	34724407	0	0	
HUT	2.2	1.8	2	2.1	72830	2.2	178380	0	97720	0.2	10	2.2	1810	1141420	0	0	0	0	0	0	2.2	1.9	2.12	0	280	12143068	0	0	
TNG	15.1	12.5	13.8	13.4	9040	13.5	27150	13.6	6290	-0.2	-1.45	13.6	10	105650	13.7	1680	13.8	9910	13.9	6300	13.8	13.5	13.67	0	1000	2770013	0	0	
PVB	15.7	12.9	14.3	13.8	3050	13.9	1730	14	3560	-0.3	-2.1	14	40	21160	14.2	590	14.3	210	14.4	1260	14.3	14	14.1	0	0	1057591	0	0	
DHT	49.1	40.3	44.7	44.7	40	44.8	70	45	10	0.3	0.67	45	40	1150	45.3	280	45.4	90	45.5	10	45.9	40.5	45.13	0	100	969255	0	0	
