HNXFIN
210.6
0.01	0.01
16851400	205.05	
ART	2.9	2.5	2.7	2.5	92060	2.6	93310	2.7	24700	0	0	2.7	200	99300	2.8	120610	2.9	146230	0	0	2.8	2.6	2.69	50	0	4206948	0	0	
PV2	2.8	2.4	2.6	0	0	0	0	2.5	70	0	0	0	0	0	2.6	200	2.7	1030	2.8	1000	0	0	2.6	0	0	1828500	0	0	
SHN	7.4	6.2	6.8	6.5	130	6.6	760	6.7	60	-0.2	-2.94	6.6	10	30	7	10	7.1	10	7.2	190	6.6	6.6	6.6	0	0	6343684	0	0	
ACB	25.1	20.7	22.9	22.7	39640	22.8	68550	22.9	3930	0	0	22.9	400	239260	23	16100	23.1	18890	23.2	21280	23	22.7	22.9	0	0	0	0	0	
BVS	10.3	8.5	9.4	9.1	430	9.2	110	9.3	330	0	0	9.4	30	8190	9.4	1020	9.5	1990	9.6	1830	9.4	9.1	9.24	1400	1500	1676427	0	0	
HBS	2.2	1.8	2	0	0	1.8	5990	1.9	300	-0.1	-5	1.9	10	280	2	230	2.1	2480	2.2	780	2	1.9	2	0	0	1594525	0	0	
PSI	2.7	2.3	2.5	0	0	0	0	0	0	-0.1	-4	2.4	50	120	2.5	20	2.6	470	2.7	180	2.5	2.4	2.45	0	0	2039450	0	0	
EVS	9	7.4	8.2	0	0	0	0	7.4	390	-0.2	-2.44	8	10	30	8	40	8.1	50	8.2	3000	8.2	7.4	7.87	0	0	6000040	0	0	
IVS	7.8	6.4	7.1	6.7	120	7	50	7.1	50	0.3	4.23	7.4	50	1500	7.4	160	7.5	100	7.6	340	7.4	7.1	7.11	600	600	1641683	0	0	
NVB	8.9	7.3	8.1	7.9	13570	8	1340	8.1	8020	0.1	1.23	8.2	1000	328100	8.2	2910	8.3	7960	8.4	1600	8.3	7.9	8.14	0	0	10469333	0	0	
MBS	11.4	9.4	10.4	10	3220	10.1	1820	10.2	400	-0.2	-1.92	10.2	90	12400	10.3	1780	10.4	2210	10.5	690	10.4	10.2	10.23	0	0	8045509	0	0	
PVI	33.8	27.8	30.8	30.3	390	30.4	200	30.5	50	0	0	30.8	10	330	30.8	1060	30.9	400	31	1020	30.8	30.3	30.38	0	210	10693297	0	0	
PTI	19.9	16.3	18.1	16.6	20	17.2	20	17.3	20	0	0	0	0	0	18.2	40	19	60	19.7	20	0	0	18.1	0	0	913545	0	0	
VNR	20.4	16.8	18.6	18.4	10	18.5	500	18.6	10	0	0	0	0	0	19.2	90	19.5	20	19.6	20	0	0	18.6	0	0	2721189	0	0	
TIG	7.2	6	6.6	6.4	28150	6.5	17710	6.6	11050	0.1	1.52	6.7	40	95710	6.7	17720	6.8	30670	6.9	26090	6.7	6.4	6.58	3100	0	2883626	0	0	
VIG	0.9	0.7	0.8	0	0	0	0	0.7	70310	0	0	0.8	200	9960	0.8	62910	0.9	34800	0	0	0.8	0.7	0.8	60	0	1632611	0	0	
VIX	5.3	4.5	4.9	4.8	3500	4.9	3010	5	10	0.2	4.08	5.1	10	1470	5.1	1790	5.2	930	5.3	730	5.1	5	5	0	0	5565390	0	0	
API	11	9	10	9.7	10	9.8	10	9.9	10	-0.1	-1	9.9	10	10	10.3	100	10.4	10	11	50	9.9	9.9	9.9	0	0	177097	0	0	
APS	2.4	2	2.2	2.3	2500	2.4	3650	0	2000	0.2	9.09	2.4	100	9900	0	0	0	0	0	0	2.4	2.3	2.4	0	0	2750605	0	0	
WSS	1.9	1.7	1.8	0	0	0	0	1.7	1990	-0.1	-5.56	1.7	10	10	1.9	220	0	0	0	0	1.7	1.7	1.7	0	0	2346880	0	0	
SHB	15.5	12.7	14.1	13.7	44200	13.8	68110	13.9	170	-0.1	-0.71	14	1000	676820	14	5550	14.1	61940	14.2	84050	14.1	13.7	13.92	68260	209353	34724407	0	0	
SHS	9.7	8.1	8.9	8.5	34770	8.6	36280	8.7	47690	-0.1	-1.12	8.8	20	201720	8.8	15040	8.9	300	9	3370	9	8.6	8.79	0	37810	8447508	0	0	
