VNALL
775.46
3.37	0.43
772.05	-0.01	14650	0.59	
777.22	0.66	233375850	3452.84	
777.12	0.65	250056020	3835.46	
APC	19.25	16.75	18	17.55	300	17.6	363	17.65	20	-0.05	-0.28	17.95	20	185	17.9	487	17.95	542	18	455	17.95	18	17.6	0	0	652998	
TGG	0.94	0.82	0.88	0.92	2049	0.93	30170	0.94	47365	0.06	6.82	0.94	254	60286	0	0	0	0	0	0	0.94	0.94	0.88	0	0	1251484	
TPB	22.05	19.25	20.65	20.55	55	20.6	997	20.65	31	0	0	20.65	220	12332	20.7	502	20.8	104	20.95	10	20.65	20.8	20.5	1	0	0	
RAL	87	75.8	81.4	78.8	1	78.9	35	79	114	-1.4	-1.72	80	13	1282	80.8	60	80.9	97	81	61	80	81.8	79	560	0	545802	
CTG	24.1	21	22.55	22.4	14540	22.45	13671	22.5	20284	-0.05	-0.22	22.5	49461	356163	22.6	820	22.65	6972	22.7	9084	22.5	22.7	22.45	51951	4888	1237138	
BFC	14.15	12.35	13.25	13.1	1991	13.15	1581	13.2	518	-0.05	-0.38	13.2	628	38458	13.25	1215	13.3	567	13.35	3160	13.2	13.45	13	191	0	2587714	
DCM	9.1	7.92	8.51	8.47	1630	8.48	21634	8.49	862	-0.02	-0.24	8.49	6914	81576	8.53	500	8.55	796	8.56	12077	8.49	8.58	8.46	2015	271	24925764	
HVH	8.72	7.58	8.15	7.92	42	7.93	372	7.95	1116	-0.01	-0.12	8.14	2725	20266	8.14	882	8.15	771	8.16	184	8.14	8.16	7.91	0	409	961894	
D2D	62.1	54.1	58.1	59.1	230	59.2	578	59.3	300	1.3	2.24	59.4	1227	24464	59.4	1264	59.5	321	59.6	391	59.4	59.7	58.1	773	785	897533	
TCH	22.45	19.55	21	21	1361	21.05	1852	21.1	5950	0.2	0.95	21.2	8226	142033	21.2	204	21.25	1000	21.3	1067	21.2	21.3	20.2	886	4476	16200936	
VPG	21.05	18.35	19.7	19.4	5	19.5	5	19.6	5	0	0	19.7	565	941	19.7	298	19.8	85	19.9	50	19.7	19.7	19.6	0	2	1294558	
VNG	14.4	12.6	13.5	13.35	165	13.4	459	13.45	300	0	0	13.5	280	17550	13.5	633	13.55	658	13.6	1359	13.5	13.6	13.35	7	938	4754438	
CNG	23	20	21.5	21.4	6	21.45	50	21.5	200	0.4	1.86	21.9	500	6045	21.9	188	22	245	22.1	63	0	22	21	0	0	757255	
HHS	4.22	3.68	3.95	4.06	30	4.07	686	4.08	3345	0.13	3.29	4.08	10165	187089	4.09	1940	4.1	4155	4.11	2352	4.08	4.13	3.88	8182	0	12578102	
HAP	3.37	2.93	3.15	3.12	536	3.13	304	3.14	200	0	0	3.15	40	1082	3.15	1516	3.16	703	3.2	110	3.15	3.15	3.12	0	0	2327244	
VCI	24.95	21.75	23.35	22.7	3249	22.75	2550	22.8	2580	-0.55	-2.36	22.8	24153	125651	23	210	23.1	520	23.2	500	22.8	23.4	22.65	3524	55170	11611382	
SJS	22.5	19.6	21.05	22.3	859	22.45	107	22.5	21819	1.45	6.89	22.5	434	46314	0	0	0	0	0	0	22.5	22.5	20.55	666	409	5376692	
HT1	15.3	13.3	14.3	14.65	300	14.7	1151	14.75	1395	0.45	3.15	14.75	1923	30776	14.8	1669	14.9	1001	14.95	5	14.75	14.8	14.05	0	0	16250446	
SCD	22.75	19.85	21.3	21.2	207	21.25	1	21.3	500	0.05	0.23	21.35	3	1063	21.35	47	21.5	430	21.85	60	21.35	21.35	21.2	0	450	346490	
DIG	12.9	11.3	12.1	11.95	2001	12	6279	12.05	138	0	0	12.1	16300	60598	12.1	219	12.15	4199	12.2	3050	12.1	12.15	11.9	1102	0	4596979	
NNC	48.75	42.45	45.6	45.25	15	45.6	57	45.7	261	0.1	0.22	45.7	2	453	46.8	100	46.9	30	47	11	45.7	46.9	45.7	0	0	685647	
